Provenance,ID,Passage,OriginalTag,Explanation,Assignment,Title,Author,Date,Filename,TruthTag,KeyPhrase,Explanation,Tagger1,Reviewer,ReviewTag,ReviewExplanation,
1000 Annotations,0576_3065_3071,"A man, Julian ‚Äö√Ñ√Æ especially a famous man like you‚Äö√Ñ√Æ ought to know how to control himself\ Julian burst out laughing bitterly. '* Send upstairs for my self-control,\"" he said. '' It's in her possession ‚Äö√Ñ√Æ not In mine. Good morning, aunt.\"" He rose from his chair. Lady Janet instantly pushed him back into it. \"" I insist on your staying here,\"" she said, '* if it's only for a few minutes longer.""",NA,"In novel: ‚ÄûHere I am in Mablethorpe House, with a mean subterfuge to justify me to my own conscience.‚Äú",Svenja,The new Magdalen : a novel,"Collins, Wilkie",1873,576.txt,domestic,"Here I am in Mablethorpe House, with a mean subterfuge to justify me to my own conscience",Private house,Svenja,Alex,,,
"Unfiltered Annotation, Round 25",2075_2318_2324,"""If you wanted me to mention that to him, you should have said so; and I'm not sure that I shouldn't have obeyed your instructions. But I understood that you regarded him and his flirtations with absolute indiff'erence."" "" That only means that you are vexed with me, as well as with him, and that you won't stir a finger to help either of us. I thought you were a better friend than that, Phil."" ""I am a friend Kke another,"" I replied crossly (for, I suppose, the truth was that she had drawn a fairly accurate sketch of my mental condition); ""only it seems to me that friendship implies some sort of recip- rocity. I have told Hurstbourne over and over again that he will be an ass to propose to Miss St George ; what more can I do ?",IDK,"In novel: ""was blocked with carriages and the house with guests [‚Ä¶] towards the ball-room [‚Ä¶] she led me, to the extreme top of the staircase, where we seated ourselves‚Äú ‚Äî> ball in private house, non-domestic",Svenja,His Grace,Norris W E William Edward 1847 1925,1892,2075.txt,other,towards the ball-room,ball-room,Svenja,Mark,,,
Round 2 Annotations,1288_5798_5804,"He replied "" Most probably, shoot himself through the head, if he has not some religious scruples to stay his hand. Why, he has not a sous to support him, independent of his commission. Then, quitting the army in the midst of this glo- rious war, and in disgrace, too ! I see no other alternative for the poor devil. ^^ Well, Aigline, these are all the ^particulars I could acquire; their meagreness, and my total ignorance of military law, will cause you to pro- nounce, as I myself do, that my intelligence is very unsatisfactory. However, one thing is cer- tain, the inquiry is to commence to-morrow, and there is a powerful party against Mellish, so if he cannot obtain the money almost instantly, I verily believe that his fate will be decided ; and that,^^",IDK,"dialogue, could be domestic",Alex,"Lionel Deerhurst, or, Fashionable life under the Regency",Hemphill Barbara Hare,1846,1288.txt,IDK,"I ardently longed to see him at  once, to express my gratitude for the protection  he had so liberally granted, and next to consult him as to where I should go, for to remain in the palace in which he had placed me was not to be thought of","Mellish gone, I remained in the greatest per- plexity, with no possible clue to unravel his evident distress, for shut up in the palace I had no com-munication with any person. Long-term stay in a palace, paid for by Mellish (soldier) who is keeping Aigiline, part of a debt plot. So a long-term but not permanent residence.",Alex,Mark,other,"But at Alicant I was surrounded by enemies, and from very fear obliged to shut myself up in my unwholesome garret",
1000 Annotations,1561_5262_5268,"He writes as if he thought so highly of you, and yet he wants you to go all the way to India, and do a great deal of difficult work, and be exposed to great danger. Why should he want you to go 1 You can stay very comfortably at home ; and surely there must be people badly enough off not to mind going so far, and working so hard.\ \"" You have no wish to see me Governor of S V* \""No, not if being Governor obliged you to leave High Combe, and live in India. I should think you very silly if you went there, and very unkind to me.\"" \"" Well, give me the letter back. I have made up my mind to decline the appointment. I am going to London to-day to see Lord Mertown about it.""",NA,,Alex,Clemency Franklyn [a novel],"Keary, Annie",1866,1561.txt,DOMESTIC,"drawing a chair near hers, he took the letter he had received the evening before, from the table, and pro- ceeded to explain its purport to her.","Talking in a house in the morning, after Sydney (wife) wakes up late with a headache",Alex,Mark,domestic,agree with original tagger,
1000 Annotations,1407_181_187,"A few moments' attentive listening convinced them that the dreaded noise was but the gnawing of a mouse, and with a general hearty laugh at their common fear, and the trivial circumstance that caused such agitation, they soon resumed their places, and forthwith fatigued nature renewed her cravings for repose. Just then the old castle clock had struck its portentous twelve, but yet no ghost appeared, and though not one of the party was sufficiently courageous to suggest that they should retire to their different bedrooms, to enjoy the sleep they so much needed, yet all were unanimous that it would be very foolish indeed, even if possible, to stay awake all night. '‚Äö√Ñ¬¢'‚Äö√±‚Ä† Let us watch in turns,\ says Fitzgerald, *' one hour each ; one awake to give the alarm, the other two asleep, and let us cast lots to see who must watch the first hour. ** Agreed,\"" said the other two ; and soon the lots prepared and drawn constituted Mortimer 0' Sullivan the first hour's watcher. Whereupon, taking an old book, entitled Marx^ 0' Sullivan^ her Friends and Influence, written in two volumes, from a bracket in the room, he sat down to read.""",NA,,Alex,The ghost of Dunboy Castle,Huberto pseud,1889,1407.txt,OTHER," Mr. James Doonan, who had acted as caretaker and resident at the Castle since the family had ceased to reside there, some fifteen years before. ","Complicated. At a castle, but it is not a permanent residence because it is haunted--""three college friends"" (including one who is the heir of the castle--read down) are just spending the night there (and keeping watch during it), but no one lives there. Prior to the passage, establishing they're in the castle: ""Though very much fatigued by the uninterrupted travelling of the last three days, and worried by broken rest and severe exercise, anxiety had hitherto overcome drowsi- ness. The alarm they anticipated, from what the general rumour of the neighbourhood assured them they were destined that night to see, preyed on their minds.""",Alex,Mark,other,agree with original tagger,
"Unfiltered Annotation, Round 17",2323_2623_2629,"Think, if it will lighten your pain, that at the last I was touched by your goodness, your nobility, and that I regretted ‚Äö√Ñ√Æ that if I could, I would have made you happy. Think of me as the old impulsive Nadine, who knew herself, but who for once did not yield to an impulse which would bring you sorrow ; for we should only bring each other sorrow, of that I am sure in my heart. Though I cling to you, for I cannot bear to let you go, I know that we are best apart. I must go my way; I must fulfil my bent. You remember what I said always ‚Äö√Ñ√Æ ^ My nature is my destiny.^ You in time might become a shackle that I should hate.",IDK,,Alex,Nadine : the study of a woman,"Praed, Mrs. Campbell",1882,2323.txt,DOMESTIC,"Some two months later, Dr. Bramwell stood alone in the corridor of Mrs. Dormer's London house, listening with beating heart and mingled dread and anxiety for the sound of a footfall on the landing or the rustle of a dress upon the stair.","A very long conversation between a man and a woman. Soon after this, he leaves her. Before, they seem to be in a house--""moving herself away to a window"". At the beginning of the chapter, I found the key phrase.",Alex,Mark,domestic,"Some two months later, Dr. Bramwell stood alone in the corridor of Mrs. Dormer's London house, listening with beating heart and mingled dread and anxiety for the sound of a footfall on the landing or the rustle of a dress upon the stair.",
Round 2 Annotations,2516_2467_2473,"Mafier Benfon and Charles at cards. i>ENSON. An ace, you must give me four. Charles. (Counting them reluctantly) One ‚Äî two‚Äî three ‚Äî four. Oh!",IDK,pure dialogue,Jessica,The little family. Written for the amusement and instruction of young persons.,"Sanders, Charlotte",12/5/2008,2516.txt,domestic,"Scene \fl, a Parlour.","This is a weird one! If you scroll up, a group of characters is reading this drama in an ""arbour,"" so nondomestic because they're outside, but if we go with the idea that we're now going with the space in the drama, it takes place in a ""parlour."" (Also, the characters in the drama have the names ""Emily"" and ""Valancour"" -- fascinating!)",Jessica,Mark,domestic,lowest diegetic level is domestic,
1000 Annotations,1703_2101_2107,"But he really was most kind and obliging and took care of lots of people ; in fact but for him I should have got squeezed to death in the crush. You know there was a sort of cold collation in the studio, not a stand up nor a sitting down breakfast.\ \""What, not a sitting down 1101^ a stand up ? \"" repeated the duke, bewildered. \"" How silly you are, Cas ! I mean every- thing on trays and in odd corners, don't you know ?""",NA,,Jessica,Bertha's earl : a novel,"Lindsay, Lady Caroline Blanche Elizabeth",1891,1703.txt,domestic," Here I am, Cas, home much earlier than 
you expected, aren't I ?  ","There were other hints that it took place in a domestic space, like a section of wall without a bookcase, but I want to be strict about how I'm doing this and find only explicit place names. ",Jessica,Mark,domestic,"Meanwhile, as was his invariable custom when in perplexity, he paced restlessly up and down his study.",
1000 Annotations,2703_2834_2840,"Juliet could not rest. Every sound made her start ; every step in the corridor made her tremble. Hope whispered that, before they set out, Montague would be there ‚Äö√Ñ√Æ would explain all. Yet, how could he explain ? no matter ! love and faith are strong in woman*'s breast, and for a time they upheld Juliet. But shortly disappointment filled her heart with a vague resentment. \"" FullChadwyckBritishParse/2703.csv""",NA,,Jessica,"Cousin Geoffrey, the old bachelor. A novel. To which is added Claude Stocq","Smythies, Harriet Maria Gordon",1840,2703.txt,domestic,"Say, you 
will try to go with your father ; the air, the 
change, even the very effort, though painful, 
will be salutary. Will she try ?"""" said the fond 
mother, smiling through her own tears. ","Although I couldn't find the word ""home,"" I could find numerous passages that make it pretty clear that Juliet is leaving home. ",Jessica,Mark,domestic,"With a heavy step she went to her own room, and taking off her bonnet, threw herself, with all the self-abandonment of despair, upon her bed.",
"Unfiltered Annotation, Round 10",2024_2678_2684,"The reason is very plain. Wisdom is a good thing, but it cannot do the work of experience ; the greatest blockhead in the world, if he had been to the moon, could tell more about it than the cleverest astronomer who had only studied it through a telescope. Now, with sentimental young men, unless they are mar- ried early, the state of matrimony is the grand illusion of life, and it colours every- thing. Marry them, and you strike one falsehood out of their minds, and leave them readier for the clear cold liofht of pure thought. You think so, don't you, my child ? ' * I hardly know what to say,' Mercy answered.",IDK,,Jessica,Children's children : a story of two generations,"Muir, Alan",1879,2024.txt,domestic,"Look at this portrait,' said Miss Crow, 
pointing to the picture of Diana which always 
stood on the table beside her. ' Do you see 
any likeness to him there ? '","Here's one where it's harder to look for specific place names, but I feel as though a family portrait always on the same table is a decent enough clue that this passage takes place in a domestic space. ",Jessica,Mark,domestic,earlier passages allude to the schoolmistress visiting Miss Crow at her house,
Round 2 Annotations,3148_3836_3842,"Edith,"" she continued, clasping her hands tightly, and dropping her voice, "" only God knows from what horror you have saved me. At first I was so overwhelmed with shame that I thought ‚Äî I thouglit of ending mj misery, you know ‚Äî death is a coward's last resource ; you know too how you came and saved me from that last awful guilt."" "" Oh, Dorcas, it could not have been so terrible as that,"" almost whispered the other. "" It was. I felt as if I had lost every- thing worth having. You, standing so high, so faultless, stooped to me, and held out your hand and saved me."" "" Dorcas, you must not think me so faultless. I was not generous enough to forgive you at first.",IDK,"dialogue, could be domestic",Sophie,Richer than wealth : a novel,Wethered Charles Mrs,1884,3148.txt,domestic,"The next morning Edith, full of a new 
buoyancy, walked down to the farm, and 
soon unfolded to tlie astonished Dorcas 
her schemes for the future.",KeyPrase: page 294. Edith seems to enter a building on the farm to talk to Dorcas.,Sophie,Mark,domestic,"The next morning Edith, full of a new buoyancy, walked down to the farm,",
Round 2 Annotations,0666_3487_3493,"My humour is satisfied,"" said Rachel ; "" and I forgive him, though I care little for his friendship.""'""' "" Forgive !""'""' said the Rapparee ; "" that should be my part."" "" Now, out upon thee for a gallant ! But where should gallantry be learned in the bogs ?*' "" It has not been wanting there, as English courts of old, and more than English courts, could tell,"" still argued Ulick. "" Then the bogs have degenerated,"" said Rachel. "" They have truly, since the daughters of Erin make a mockery of its sons, and prefer to them the smooth-bearded and the wily Saxon."" Rachel's colour here arose, and her pride fell.",IDK,"dialogue, could be domestic",Sophie,Yesterday in Ireland,Crowe Eyre Evans 1799 1868,1829,666.txt,domestic,"Rachel had in the meantime returned from 
Palestine, where she found that one of her name 
could no longer be welcomed. She had wit- 
nessed Anastasia's grief, and was affected by it. 
She did not want to be so reminded of those 
that hung over her family and home.","KeyPassage: page 302. Also: ""The Rapparee all 
this time took slight or no notice of Rachel 
O'Mahon, who, bowed in sorrow, and seated by 
chance on a low seat or stool, wore little the 
appearance of the daughter of the mansion."" (p. 306) - They are in a room, and it seems to be her home.",Sophie,Mark,domestic,"The Rapparee took her for the bower maid, probably, of the absent daughter of the mansion",
1000 Annotations,1164_5995_6001,"Those contents were a song adapted by her lover to one of the old ballad airs of the country, which Lilly had often sung to her harpsichord (when the young gentleman was not present ‚Äö√Ñ√Æ for she was far too scrupu- lous to flatter his vanity at any time by letting him hear how she honoured it)^and which, as Lilly did think it worth singing, we shall venture to transcribe : ‚Äö√Ñ√Æ THE WANDERER'S RETURN. IVe come unlo m.^ home again and find mj'self alone ‚Äö√Ñ√Æ The friends I left in quiet there are perished all and gone ‚Äö√Ñ√Æ My father's house is tenantless ‚Äö√Ñ√Æ my early loves lie low ! But one remains of all that made my youthful spirit glow ‚Äö√Ñ√Æ My love lies by the blushing West, drest in a robe of green. And pleasant waters sing to her and know her for their queen The wild winds fan her face, that o'er the distant billows come ‚Äö√Ñ√Æ She is my last remaining love ‚Äö√Ñ√Æ my own ‚Äö√Ñ√Æ my island home. II. I know T've not the cunning got to teil the love I feel, And few give timid trutL tLe faitU they yield to seemingzeal.",NA,,Sophie,Tales of the Munster festivals,Griffin Gerald,1827,1164.txt,domestic,"The fires had already been lighted on the fields adjacent to Drumscanlon, when Lilly Byrne, having discharged, as was her never- failing custom, all her household duties to the very letter ó given the servants their dinner ó cut out the slim-cake for the evening ó set some milk in a saucer for the cat ó counted all the linen into the press ó seen the ducks, hens, and chickens fed ó the cows milked ó the dairy set in order ó the garden-gate locked ó the butter printedó the mouse-traps baited ó and the dough set by the fire ó when Lilly Byrne, having discharged, we say, all those duties, sat in her Chamber making her little preparations with an aching heart, at her toilet, to perforra a cheerful part among a small fa- mily tea-party, who were invited to spend the evening at Drumscanlon.",Lilly is in her chamber.,Sophie,Mark,domestic,"when Lilly Byrne, having discharged, we say, all those duties, sat in her Chamber making her little preparations with an aching heart, at her toilet, to perforra a cheerful part among a small fa- mily tea-party, who were invited to spend the evening at Drumscanlon.",
1000 Annotations,1984_2057_2063,"Nobody is particularly inclined for music, or for whist, or for a round game ; and it usually ends in nothing but talk, and everyone is ready to go pretty early to bed. ' Next morning at breakfast one of the features will be the inevitable nursery letters that somebody or other will be sure to receive. First the child's letter : \ Nurse's duty, and the children are quite well and very happy. Master Charles is riding on a stick, and Miss Molly was so pleased to get dear Mamma's letter, and they both send their love and many kisses to dear Mamma, and Master Charles wishes to know when Mamma is coming home again.\"" This letter of course ends with the inevitable row of kisses ; sometimes expressed by x x x x x , and sometimes by o o o o o o, according to the taste of the young scribbler. Also the inevi- table blot or smear, with \"" Master Charles made that blot,\"" written underneath it. 6""",NA,,Sophie,Seaforth,Montgomery Florence 1843 1923,1878,1984.txt,domestic," One thing, however, I must not omit to 
tell you of, though you will not experience 
it here. It is a very prominent feature in 
most country houses, and to my mind an 
unnecessary one. ","Also: ""c Dinner is announced immediately, and 
all troop in."" They have a party/gathering at a country house.",Sophie,Mark,domestic,"We will suppose the ladies now assembled in the drawing-room, and all the men.",
Round 2 Annotations,2195_2703_2709,"You have not outgrown St. Paul : "" said Mr. Nicholl. "" I suffer not a woman to speak in the church."" "" Ah, yes,"" Lady Mary exclaimed. "" She is banished also from the assembly of saints."" "" XW religious and philosophical teachers, in- cluding St. Paul,"" said Mr. Pynes in a hard, dog- matic tone, "" are unanimous on this point. It only remains for us to show that this exclusion from all participation in active life and in- tellectual exercise is not derogatory."" ""On the contrary,"" exclaimed Otto Yenning eagerly; "" it is in the highest and divinest degree honourable to womanhood."" "" }.Ir. Yenning, allow me to introduce you to Professor Goldworthy Fynes : "" said Lady ^Mary. The two men shook hands warmly, and Mr. Yenning turned to speak to Mrs. Brownlow. """,IDK,"dialogue, could be non-domestic; in novel: ‚ÄûWhilst the two ladies were talking, a man, hat 
 in hand, stood under the trees at no great dis- 
 tance from them, and watched the numerous 
 visitors w^ho now thronged the garden.‚Äú ‚Äî> outside, non-domestic space",Svenja,The lady resident : a novel,Page Hamilton,1880,2195.txt,Other,"Whilst the two ladies were talking, a man, hat 
  in hand, stood under the trees at no great dis- 
  tance from them, and watched the numerous 
  visitors w^ho now thronged the garden.","outside, non-domestic space; dialogue",Svenja,Mark,other,"Bertie passed on and joined the party in the garden. Miss Crayston had preceded her, and was sitting on a garden seat under a group of laburnum trees. Professor Fynes was standing by her side.",
1000 Annotations,2757_2470_2476,"or when he roasted it ? or when he peel'd, or when he brought it home ? or when he digested ? or when he ? For 'tis plain. Sir, if the first picking up of the apple, made it not his ‚Äö√Ñ√Æ that no subsequent act could. Brother Didius, Trihonlus will answer ‚Äö√Ñ√Æ ( now Trihonius the civilian and church lawyer's beard being three inches and a half and three eighths longer than Didius his beard ‚Äö√Ñ√Æ I'm glad he takes up the cudgels for me, so I give myself no farther trouble about the answer).",NA,"Non-spatial narration; in novel: ‚ÄûFair and softly, gentle reader !‚Äú",Svenja,"The life & opinions of Tristram Shandy, gentleman","Sterne, Laurence",1898,2757.txt,other,"Fair and softly, gentle reader",Non-spatial narration;,Svenja,Mark,other,agree with original tagger,
1000 Annotations,2298_2217_2223,"But I am better, thank God ! and Chambers will pull me through, if man can do it. Meanwhile, let me do my business, as I said, while my mind is clear. I shall be the easier and get on the better.\ \"" Yes, sir, all right. I will attend as w^ell as I can.\"" Mr. Dashwood was the possessor of various family secrets.""",NA,"In novel: ""begged him to bring divers 
 boxes and papers to his bedside‚Äú",Svenja,Oliver Beaumont and Lord Latimer,"Ponsonby, Lady Emily",1873,2298.txt,domestic,"begged him to bring divers 
  boxes and papers to his bedside",bedroom at home of someone,Svenja,Mark,domestic,"Three days after Philip's return, he sent for him and begged him to bring divers boxes and papers to his bedside.",
"Unfiltered Annotation, Round 4",2548_5219_5225,"In the midst of these calamities,"" he continued, "" not unknown to Mr. Strick- land, he quitted England, and continued in France on liis own private business for two years, leaving me to struggle on as well as I could with difficulties almost insurmount- able. Having thus exposed all the neces- sities of the house, I solemnly declare that all the monies temporarily raised by me were applied, not in anyone instance for any sej)arate purposes or expenses of my own, but in every case they were immediately placed to the credit of the house in Fen- church-street, and applied to the payment of the pressing demands upon it. This fact does not rest on my own assertion, as the transactions referred to are entered on the books now in possession of the assig- nees, and to which I have had no access since my apprehension. These books, I understand, are now in Court, and will confirm the truth of my statement ; and to whatever account all the sums may be entered, whether to that of stock, of exchequer bills, or to my private account, the whole went to the general funds of the banking-house. I have been, I know, accused of extravagance in the pubHc prints. I take heaven to mtness, that in my private expenses I have strictly kept to the proceeds of the Elsmere property. All my friends know how I Hved.",IDK,"In novel: ""I am sure that the Court will be ready to grant that indulgence to the prisoner [‚Ä¶ ]The judge assented, and a pause ensued, during which Mr. Lushington appeared to have regained his composm-e, and, rising once more, he continued.‚Äú ‚Äî> court, non-domestic",Svenja,The old grey church,"Scott, Lady (Caroline Lucy)",1856,2548.txt,other,I am sure that the Court will be ready to grant that indulgence to the prisoner,"court, non-domestic",Svenja,Mark,other,"My lord, I am sure that the Court will be ready to grant that indulgence to the prisoner",
"Unfiltered Annotation, Round 26",3168_978_984,"He seems a fine specimen of a real Irish gentleman ; and she is still a very handsome woman."" ""A ruined horse-dealer, now principal partner in Macer's gambling-house; and a broken-down actress, Avho married him under false pretences. My dear fellow, what a nest of sharpers you have got amongst ! Now tell me honestly, had you any play, or did they keep you in ignorance of their practices, so as not to land their fish before he was thorouo;hlv O -J gorged ?"" "" Why, we played, certainly. I had a turn at ecarte with the Count."" "" And he won of you ‚Äö√Ñ√Æ ?"" """,IDK,"In novel: ""wished to see me, if I was up. A quarter of an hour sufficed for the use of bath,‚Äú",Svenja,"Tilbury Nogo; or, Passages in the life of an unsuccessful man","Whyte, Melville George John",1854,3168.txt,domestic,"wished to see me, if I was up. A quarter of an hour sufficed for the use of bath",He prepares for leaving,Svenja,Mark,domestic,"Jack's merry face showed itself at my door; and, throwing himself into an easy chair, he questioned me, as I went on wdth my toilet, on the proceedings of the last few days, and my intentions for the future.",
Round 2 Annotations,2176_1151_1157,"Your arm should have been lifted against the general or me, not your amiable, unof- fending, aiid, I must say, angelic niece."" If Lord Shirley had wished to revenge Catherin e's wrongs to the utmost, he could not have succeeded better than by giving such praises to the being towards whonx she '' Well, this I was not prepared for,"" she at length faintly articulated. ''I thought, at least, I had a friend in you, my lord/' "" And so you have, madam,"" replied Lord Shirley, a little moved by her di- stress ; "" and so you shall find me, if you vill let me know how I can serve yotu Else why did I instantly obey your sum- mons?"" *^ True ‚Äî very true,'' sighed Mrs. Bayn- ton, "" This, then, my lord, is my bu- siness with you.",IDK,"dialogue, could be non-domestic",Alex,Valentine's eve,"Opie, Amelia Alderson",1816,2176.txt,DOMESTIC,"The general, w^ho soon began to su- spect the truth, again bowing respectfully, drew the arm of Lucy under his, and led her into the dining room, while the earl gave his to the aunt and niece.","At a house, with guests coming and some going. The reviewer should double-check they don't move between this and the passage.",Alex,Sophie,domestic,"The general, w^ho soon began to su- 
spect the truth, again bowing respectfully, 
drew the arm of Lucy under his, and led 
her into the dining room, while the earl 
gave his to the aunt and niece. ",They are in the dining room (I don´t think they moved)
1000 Annotations,2283_1850_1856,"No, sir ‚Äö√Ñ√Æ I am afraid not,\ answered Sidney, rather eagerly; \""it is absolutely necessary that I should return to London directly.\"" \"" Aye,\"" replied Dr. Summers, \"" it has been very dull for you here, no doubt- town is preferable, even though you may live in a garret. But hold,\"" he added, a moment afterwards, as he saw Sidney about to leave the apartment, \"" I have something to ask you ; the other night, when you were at Mrs. Oliver's, 1 was sent for by a Mr. Cummins, of Brook Cottage, whom it seems you have been attending during the last month‚Äö√Ñ√Æ do you know any- thing of him ? ‚Äö√Ñ√Æ he is a stranger to this place, is he not 1\"" \"" I behove so,\"" returned Sidney, \"" at least, I gathered as much from his conver- sation. He and his daughter are the guests and relations of old Mrs. Henrich, who is the present tenant of the cottage.\"" '^ Humph !\"" said Dr. Summers, in a dis- satisfied tone, \"" no more than that ? and he has as many whims as a Crcesus might have.'^ \""""",NA,,Alex,The young doctor : a novel,Pinkney Jane Vaughan,1851,2283.txt,DOMESTIC,"""Well, Dr. Beckford,"" said Mrs. Sum- mers to Sidney, two or three days before the time fixed for his departure from D . "" Well, Dr. Beckford, the very weather, here-a-bouts, seems to mourn your leaving us ; it has rained ever since you fixed the day for doing so. However, 1 suppose you cannot stay longer with us, as Mr. Winkelmann wishes you to return","No immediate clues, but Sidney is staying with the Summers at their home, so the dialogue that begins out of nowhere is presumably set there. Earlier on, I found: Very well, then,"" repKed Mr. Winkel- mann, ""all's settled. Mind, Sid, Summers expects you next Saturday. He resides in D , a pleasant sort of village in the south of Hertfordshire.""",Alex,Sophie,domestic,"However, 1 
suppose you cannot stay longer with us, as 
Mr. Winkelmann wishes you to return."" 


"" I should be most happy if you would 
consent to give us your company for 


another week or so/' said Dr. Summers, 
who just theirentered the room, and con- 
sequently overheard his wife's words, 
"" most happy ; but I dare say Winkel- 
mann cannot spare you.""","They are indoors, and Sidney is staying with Dr. Summer and his wife."
"Unfiltered Annotation, Round 3",0958_816_822,"You don't speak, Beresford. What are you thinking of ? "" ""I am thinking of Aunt Dumbarton,"" replied Mr. Conway. "" She is a subject for reflection."" "" She is a subject for bad language, I think,"" retorted Eva. "" It will be quite a happy family gathering. Cousin Fanny, I congratulate you."" "" It is hard, is it not ? "" asked Mrs. Wilding patlietically.",IDK,,Alex,In the old palazzo : a novel,"Forde, Gertrude",1885,958.txt,DOMESTIC,"Eveleen meanwhile, downstairs, was pouring out the coffee and handing it to a tall man who lay lazily stretched out at his ease in one of the low easy chairs, his feet to the blaze.","They're at a house, belonging to Eveleen or Detta's aunt, maybe called Ashley Manor. Some male relatives have come too and they are talking while being served coffee. Also helpful, below: ""WHEN"", an hour later, Benedetta entered her aunt's drawing-room, she found it fairly filled with guests."" And far above: ""Conway found it more convenient to divide his life betwixt liis club in town and his cousin's ever hospitable house. The outside world had for long imagined a tenderness between Beresford and Eveleen Wilding.""",Alex,Sophie,domestic,"Eveleen meanwhile, downstairs, was pouring 
out the coffee and handing it to a tall man 
who lay lazily stretched out at his ease in one 
of the low easy chairs, his feet to the blaze.","They are inside, visited by relatives, and Eveleen is serving coffee."
"Unfiltered Annotation, Round 19",0089_3301_3307,"lie will break every bono in your body if you attempt that,"" retorted Lord reuchurch. "" I never saw any one that could match him in strength and extraordinary activity. No, no, let me meet him, and assure me the first shot, he will never require another."" The Colonel thought for a moment, and then observed ‚Äö√Ñ√Æ *^ Perhaps you are right ; but do you know who is to be his second :"" '^ I never bestowed a thought on that sub- ject,"" answered his lordship ; ** some city apprentice, 1 suppose."" **",IDK,,Alex,The young commander : A novel,"Armstrong, Francis Claudius",1856,89.txt,OTHER,"After leaving the hotel, he proceeded, at a quick pace, along Piccadilly, and down James's Street; and entering , well-known club house, traversed a long corridor, and opening the door of a private room, he entered, and shut himself in.",A conversation at a club. ,Alex,Sophie,other,"After leaving the hotel, he proceeded, at 
a quick pace, along Piccadilly, and down 
James's Street ; and entering , well-known 
club house, traversed a long corridor, and 
opening the door of a private room, he 
entered, and shut himself in. There was only 
one gentleman present, who was seated at a 
table, writing a letter — that gentleman was 
Lord Penchurch. His lordship looked up, and 
seeing the flushed, angry features of the Colonel, 
who threw himself into a chair, after pulling 
the bell violently, said, in a tone of some curi- 
osity : — ",In a club house.
Round 2 Annotations,0256_6002_6008,"Because, amongst other things, certain lies have been put in circulation about Mr. Bethune, and I wished to know where they arose. Now I am beginning to guess."" For an instant Mr. Courtnay Fox seemed some- what disconcerted ; but he betrayed no anger. "" Come, come,"" said he, with an affectation of good humour, "" that is a strong word. Morris heard no lies from me, I can assure you. Why, don't we all of us know who and what old George Bethune is ! He may flourish and vapour successfully enough elsewhere ; but he doesn't impose on Fleet- street; we know him too well.",IDK,"dialogue, could be domestic",Jessica,"Stand fast, Craig-Royston! : a novel","Black, William",1890,256.txt,nondomestic,"One evening Mr. Courtnay Fox, the London corre- 
spondent of the Edinburgh Chronicle, was as usual 
in his own room in the office in Fleet-street, when a 
card was brought to him. ","I had to scroll all the way up to the top of the chapter to get anything definitively more specific than ""office,"" which technically could still be inside a domestic space, but it feels very clear throughout the dialogue that this scene takes place in a newspaper office. ",Jessica,Sophie,other,"One evening Mr. Courtnay Fox, the London corre- 
spondent of the Edinburgh Chronicle, was as usual 
in his own room in the office in Fleet-street, when a 
card was brought to him.",In an office.
1000 Annotations,0313_4512_4518,"* Eeally, my dear Edward, you ought to begin to think of some definite course,' said the father ' It may be too late for a profession, but the Govern- ment offices ' 'Eed tape and drudgery, with a salary that would scarcely aff'ord dry bread and a garret,' inter- rupted Edward contemptuously. ' Xo, my dear father, as a poet I will stand or fall.' ' I'm sorry to hear it,' sighed the Vicar, ' for at present it looks like falling.' What Edward really meant was that he would depend upon his father until the public and the critics, or the critics and the public, could be brought to acknowledge him as one of the new lights in the starry world of imagination. Mr. Clare under- stood this, and felt that it was rather hard upon him as a man of limited means. Edward arrived at Hazlehurst only the night before Mrs. Treverton's dinner-party. '",NA,,Jessica,The cloven foot : a novel,"Braddon, Mary Elizabeth",1879,313.txt,domestic,"Edward Clare felt himself a little like the 
prodigal son, when he came home to the Vicarage 
after this abortive campaign in the field of litera- 
ture.","Didn't have to scroll very far for this one! And the scene is all about his talking to his mother and father upon returning home, too, so it's super domestic. ",Jessica,Sophie,domestic,"Edward Clare felt himself a little like the 
prodigal son, when he came home to the Vicarage 
after this abortive campaign in the field of litera- 
ture. ",Edward is returning home to his parent´s place.
1000 Annotations,3183_21_27,"http://www.archive.org/details/childwidow01will CHAPTER I. APARTMENTS. Moving reluctantly along the narrow passage which was ordinarily dignified by the name of ' hall.' the dim light that filtered through the small thick panes of glass above the door falling on her upturned face in chastened rays, Millicent Bell's expression was a strange mix- ture of decision and doubt. The first feeling seemed the more dominant as she advanced, and, drawing forward a chair, mounted upon it ; then fixed a board on which vol. i. 1 the word ' Apartments ' was inscribed, so that it might be seen from outside : but the latter was also very apparent as, her object achieved, she turned to retrace her steps.",NA,,Jessica,A child widow,"Williamson, Emma Sara",1891,3183.txt,IDK,,"This is the very beginning of the novel, and I don't know that I fully understand this character's living situation yet. I think I'd have to read deeper into the novel and then place this passage retrospectively?",Jessica,Sophie,domestic,"A year ago their father, Dr. Bell, had 
bought a practice in Brighton, it having been 
declared that sea-air would improve his then 


failing health. He had taken a house and 
furnished it, and was scarcely settled when a 
severe attack of the disease from which he 
suffered prostrated him. ",They are inside a house that their father had bought in the previous year.
